KW Conrad Paul Basti Seb Mucke Jan
43 0 46 0 1 82 5
44 19 202 88 49 436 226
45 148 618 330 72 27 425
46 0 1468 0 1670 3262 0
47 0 1462 0 0 6389 0
48 0 0 0 0 469 2359
49 659 390 7000 5451 7000 4157
50 15 0 546 0 1341 0
51 7000 2762 289 494 1256 174
2 3938 3764 2878 1134 604 1136
3 4685 1792 180 115 1914 7000
4 2468 3018 433 692 394 141
5 1856 974 19 24 1703 7
